Id,Country_Region,Date,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code,cluster,ConfirmedCases,Fatalities,Fatalities_rate,diff_FC_LD,diff_FF_LD,Weight_C,Weight_F,daily_tested,pf_score,hf_score
110,Afghanistan,2020-05-10,37172386,14000,2020-03-23,2020-02-25,33.93911,67.709953,17.3,2020-03-24,Full,AFG,31,4402.0,120.0,2.7260336210813265,28 days 00:00:00.000000000,1 days 00:00:00.000000000,0.05835873743558676,0.5835873743558676,104.0,6.97,6.835
224,Albania,2020-05-10,2866376,5340000,2020-03-12,2020-03-10,41.153332,20.168331,36.2,2020-03-08,Full,ALB,11,868.0,31.0,3.5714285714285716,-2 days +00:00:00.000000000,-4 days +00:00:00.000000000,0.06722512200670826,0.6722512200670826,269.0,8.01,7.84
338,Algeria,2020-05-10,42228429,2657000,2020-03-13,2020-02-26,28.033886,1.6596259999999998,27.5,2020-03-24,Full,DZA,45,5723.0,502.0,8.771623274506378,27 days 00:00:00.000000000,11 days 00:00:00.000000000,0.05709606979233571,0.5709606979233571,104.0,5.2,4.99
452,Andorra,2020-05-10,77006,3042000,2020-03-23,2020-03-03,42.546245,1.6015540000000001,37.0,2020-03-16,Full,AND,42,755.0,48.0,6.357615894039735,13 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.08877323594663196,0.8877323594663196,104.0,6.97,6.835
566,Angola,2020-05-10,30809762,218000,2020-03-30,2020-03-21,-11.202691999999999,17.873887,16.4,,,AGO,23,45.0,2.0,4.444444444444445,,,0.05858739711150272,0.5858739711150273,104.0,5.98,5.4
680,Antigua and Barbuda,2020-05-10,96286,269000,2020-04-08,2020-03-14,17.060816,-61.79642800000001,30.7,,,ATG,27,25.0,3.0,12.0,,,0.08798527211953226,0.8798527211953225,104.0,6.97,6.835
794,Argentina,2020-05-10,44494502,6942000,2020-03-09,2020-03-04,-38.416097,-63.616671999999994,30.8,2020-03-20,Full,ARG,7,6034.0,305.0,5.0546900894928735,16 days 00:00:00.000000000,11 days 00:00:00.000000000,0.05684936006308796,0.5684936006308797,4494.0,8.04,6.86
908,Armenia,2020-05-10,2951776,1652000,2020-03-27,2020-03-02,40.069099,45.038189,33.9,2020-03-24,Full,ARM,17,3313.0,45.0,1.3582855418050106,22 days 00:00:00.000000000,-3 days +00:00:00.000000000,0.06705894014387091,0.6705894014387092,1193.0,7.15,7.42
1022,Australia,2020-05-10,24982688,9246000,2020-03-02,2020-01-26,-25.274398,133.775136,37.4,2020-03-25,Partial,AUS,37,6948.0,97.0,1.3960852043753598,59 days 00:00:00.000000000,23 days 00:00:00.000000000,0.07713751979435057,0.7713751979435057,38206.0,9.16,8.62
1934,Austria,2020-05-10,8840521,30816000,2020-03-13,2020-02-26,47.516231,14.550072,43.2,2020-03-16,Full,AUT,49,15871.0,618.0,3.8938945246046246,19 days 00:00:00.000000000,3 days 00:00:00.000000000,0.06257113618681992,0.6257113618681992,19923.0,9.25,8.48
